algorithm,num_points,seed,total_time,computation_time,truck_time,drone_time
greedy,10,42,1.0734584608878392,0.00099945068359375,1.0734584608878392,0.0
nearest_neighbor,10,42,0.8389493255071268,0.00099945068359375,0.6219114733467946,0.21703785216033214
simple_ga,10,42,0.9185876671601151,0.09862875938415527,0.701549814999783,0.21703785216033214
greedy,20,42,1.7119101038472346,0.0009989738464355469,1.7119101038472346,0.0
nearest_neighbor,20,42,1.0935695424401428,0.0010008811950683594,0.7711039524286077,0.322465590011535
simple_ga,20,42,1.220331941751974,0.09499859809875488,0.8978663517404389,0.322465590011535
greedy,50,42,2.4449364843738475,0.0040073394775390625,2.4449364843738475,0.0
nearest_neighbor,50,42,1.0238825567884757,0.0029976367950439453,0.6778757826645448,0.34600677412393094
simple_ga,50,42,1.091667698366177,0.09299993515014648,0.7456609242422462,0.34600677412393094
nearest_neighbor,100,42,0.977651774592498,0.005000591278076172,0.6455495989764702,0.3321021756160277
simple_ga,100,42,1.1463453777703962,0.09499669075012207,0.8142432021543686,0.3321021756160277
